Main Yard,Main Yard,,,,
Showroom,Showroom,,,,
With Supplier,With Supplier,,,,
Workshop - Bay 1,Workshop - Bay 1,,,,
Workshop - Bay 2,Workshop - Bay 2,,,,
Workshop - Bay 3,Workshop - Bay 3,,,,
Workshop - Bay 4,Workshop - Bay 4,,,,
Workshop - Bay 5,Workshop - Bay 5,,,,
Workshop - Bay 6,Workshop - Bay 6,,,,
Valeting,Valeting,,,,
Bodywork,Bodywork,,,,
Jay - Detailing,Jay - Detailing,,,,
External Tyre Shop,External Tyre Shop,,,,
External Garage,External Garage,,,,
MOT Centre,MOT Centre,,,,
Staff Allocation,Staff Allocation,,,,
Non-Driveable,Non-Driveable,,,,
